aaa,9871892,10361,147,227
aab,9883267,8118,141,329
aac,9972065,8874,6,14
aad,9337434,9436,85,164
aae,9996565,8766,430,698
aaf,9938258,8172,46,74
aag,9731933,8280,173,250
aba,9810979,8845,310,425
abb,9761024,8393,183,368
abc,9518736,9794,13,65
abd,9853759,9757,348,655
abe,9943032,9021,377,543
abf,9636536,9666,256,374
abg,9785371,9291,22,37
aca,9955623,10267,43,147
acb,9774981,9123,59,87
acc,9654658,8344,169,260
acd,9904173,8897,23,47
ace,9937211,9963,46,101
acf,9917718,8874,338,630
acg,9741565,8334,76,112
ada,9930807,7928,139,229
adb,9902911,10907,58,151
adc,9875638,9785,111,167
add,9664511,7925,79,213
ade,9866469,7207,156,250
adf,9798723,9301,139,238
adg,9809469,8334,19,66
aea,9704960,9307,206,418
aeb,9972225,9195,365,670
aec,9229594,8342,57,131
aed,9947703,9497,35,107
aee,9996066,7785,181,320
aef,9917312,7297,38,112
aeg,9815115,9766,5,15
afa,9904211,9069,5,11
afb,9961163,7540,40,90
afc,9914252,9620,108,228
afd,9920947,9188,138,386
afe,9892285,9770,14,46
aff,9804274,8386,150,264
afg,9832111,9450,93,291
aga,9965648,9587,204,370
agb,9937717,9843,309,486
agc,9997672,7739,287,406
agd,9303506,10348,172,365
age,9665281,9094,177,290
agf,9941970,8283,183,392
agg,9843862,8993,178,281
baa,9759744,8514,62,111
bab,9998199,9794,67,251
bac,9389522,7655,63,120
bad,9975904,9197,5,11
bae,9767326,7957,127,238
baf,9940492,8568,22,58
bag,9771761,9801,374,645
bba,9745496,7448,90,155
bbb,9994983,7678,111,224
bbc,9964235,10393,93,148
bbd,9965493,7831,10,26
bbe,9620000,8197,166,285
bbf,9950309,8828,160,245
bbg,9926953,9817,184,323
bca,9807003,9860,100,264
bcb,9998704,8798,11,33
bcc,9844946,9699,43,139
bcd,9826114,8054,144,363
bce,9916812,10820,66,178
bcf,9906763,8597,144,270
bcg,9817436,6996,212,289
bda,9908268,8756,37,117
bdb,9960005,8507,93,251
bdc,9940276,8541,153,325
bdd,9996120,9622,237,384
bde,9488801,9465,138,258
bdf,9635968,9037,107,286
bdg,9784503,7119,97,257
bea,9883004,9099,40,118
beb,9639195,8070,182,329
bec,9798184,9877,132,291
bed,9905146,8634,130,222
bee,9491194,10842,103,197
bef,9499448,8817,167,339
beg,9615121,8253,358,548
bfa,9935712,8849,89,144
bfb,9750082,9891,9,25
bfc,9971114,8839,108,236
bfd,9869467,8458,91,224
bfe,9971252,9804,104,183
bff,9938341,8150,271,381
bfg,9555183,8866,140,193
bga,9870138,9721,103,277
bgb,9878835,9712,114,261
bgc,9982321,8796,110,161
bgd,9896940,10161,88,316
bge,9934456,8834,51,86
bgf,9981801,8826,12,63
bgg,9950882,10468,139,214
caa,9973326,7632,275,433
cab,9897301,8811,231,365
cac,9985538,9058,174,312
cad,9920691,9647,156,357
cae,9715986,10446,219,320
caf,9985770,8001,126,198
cag,9775981,9559,532,948
cba,9805999,8870,16,50
cbb,9974803,7702,5,6
cbc,9648369,9386,62,235
cbd,9933679,8192,117,211
cbe,9949813,8785,112,203
cbf,9833987,7918,138,214
cbg,9986751,9886,252,424
cca,9924157,9317,71,212
ccb,9931883,9486,193,264
ccc,9908893,7720,95,240
ccd,9974605,8253,125,244
cce,9945329,10039,42,63
ccf,9856930,9125,71,147
ccg,9996599,8462,174,256
cda,9655438,7872,218,330
cdb,9918895,9522,52,234
cdc,9980426,7862,73,150
cdd,9662955,10568,253,456
cde,9985193,10685,137,254
cdf,9982573,8069,36,89
cdg,9929543,8694,37,127
cea,9846984,9420,168,294
ceb,9893108,9670,121,263
cec,9964731,8457,31,68
ced,9668791,11454,24,51
cee,9931843,9321,210,320
cef,9900997,8212,74,134
ceg,9987631,7643,78,271
cfa,9811502,8157,46,101
cfb,9928854,9227,54,139
cfc,9885585,8030,53,81
cfd,9948378,8357,80,196
cfe,9783653,10500,57,150
cff,9930188,9400,85,287
cfg,9934871,9198,427,721
cga,9802828,9279,49,104
cgb,9481755,10907,169,352
cgc,9885145,6372,73,116
cgd,9839108,7904,38,142
cge,9957213,8541,376,669
cgf,9182506,9262,44,140
cgg,9990811,9563,117,300
daa,9936841,7439,55,94
dab,9658744,10695,59,185
dac,9941990,8447,78,211
dad,9979883,8945,36,118
dae,9813085,6280,54,121
daf,9972837,9854,33,78
dag,9924517,9063,73,249
dba,9794231,9073,102,246
dbb,9840730,8703,5,5
dbc,9942000,9657,118,185
dbd,9930591,8525,14,45
dbe,9945482,7704,258,402
dbf,9672670,8718,14,36
dbg,9827618,10578,32,128
dca,9952290,8584,9,21
dcb,9768664,9425,21,80
dcc,9694797,9110,118,236
dcd,9973005,9572,10,28
dce,9864263,8624,67,185
dcf,9739145,9179,246,394
dcg,9867926,8412,141,257
dda,9979537,6939,91,188
